Year,Month,Total revenue,Total expenditure
1999,9,"41,314.00","44,478.00"
1999,12,"86,329.00","86,435.00"
2000,3,"130,592.00","137,761.00"
2000,6,"178,443.00","175,119.00"
2000,7,"11,615.00","15,418.00"
2000,8,"26,603.00","31,669.00"
2000,9,"44,272.00","49,810.00"
2000,10,"59,000.00","69,785.00"
2000,11,"74,580.00","85,948.00"
2000,12,"90,365.00","104,912.00"
2001,1,"107,283.00","123,391.00"
2001,2,"123,180.00","142,028.00"
2001,3,"140,806.00","166,023.00"
2001,4,"154,829.00","187,699.00"
2001,5,"177,551.00","208,360.00"
2001,6,"194,713.00","232,921.00"
2001,7,"11,765.00","13,826.00"
2001,8,"28,323.00","34,301.00"
2001,9,"44,241.00","48,982.00"
2001,10,"58,784.00","65,656.00"
2001,11,"75,369.00","87,617.00"
2001,12,"90,774.00","102,161.00"
2002,1,"107,060.00","122,427.00"
2002,2,"123,569.00","140,384.00"
2002,3,"137,682.00","157,592.00"
2002,4,"156,449.00","178,254.00"
2002,5,"174,561.00","199,168.00"
2002,6,"197,768.00","226,915.00"
2002,7,"12,931.00","18,788.00"
2002,8,"28,386.00","40,394.00"
2002,9,"45,852.00","57,835.00"
2002,10,"61,375.00","79,246.00"
2002,11,"77,301.00","98,673.00"
2002,12,"96,488.00","120,750.00"
2003,1,"114,306.00","143,691.00"
2003,2,"135,563.00","166,298.00"
2003,3,"151,085.00","182,121.00"
2003,4,"170,199.00","204,334.00"
2003,5,"187,331.00","231,008.00"
2003,6,"210,750.00","264,144.00"
2003,7,"15,055.00","21,549.98"
2003,8,"31,375.00","43,727.50"
2003,9,"51,865.00","61,255.00"
2003,10,"69,253.00","81,284.00"
2003,11,"86,309.00","99,017.00"
2003,12,"111,545.00","121,787.00"
2004,1,"130,095.00","146,010.00"
2004,2,"148,443.00","166,639.00"
2004,3,"169,704.00","189,421.00"
2004,4,"195,707.00","212,748.00"
2004,5,"216,212.00","231,631.00"
2004,6,"254,681.00","282,187.00"
2004,7,"16,815.00","20,442.00"
2004,8,"37,150.00","42,375.00"
2004,9,"60,636.00","65,938.00"
2004,10,"85,625.00","88,779.00"
2004,11,"108,541.00","113,258.00"
2004,12,"138,944.00","133,636.00"
2005,1,"165,646.00","158,123.00"
2005,2,"185,519.00","177,963.00"
2005,3,"208,765.00","202,253.00"
2005,4,"232,806.00","229,954.00"
2005,5,"254,180.00","260,792.00"
2005,6,"289,802.00","303,705.00"
2005,7,"15,481.00","24,667.00"
2005,8,"37,412.00","57,152.00"
2005,9,"64,944.00","86,552.00"
2005,10,"90,921.00","117,838.00"
2005,11,"111,605.00","141,294.00"
2005,12,"142,615.00","178,688.00"
2006,1,"169,821.00","209,791.00"
2006,2,"190,226.00","235,256.00"
2006,3,"217,152.00","268,415.00"
2006,4,"240,990.00","293,650.00"
2006,5,"273,491.00","328,887.00"
2006,6,"313,595.55","376,482.00"
2006,7,"22,645.79","25,912.00"
2006,8,"46,458.00","59,357.00"
2006,9,"75,557.00","94,368.00"
2006,10,"104,171.00","128,369.00"
2006,11,"128,657.00","161,110.89"
2006,12,"162,438.82","190,768.79"
2007,1,"195,320.00","219,726.00"
2007,2,"221,743.00","255,437.00"
2007,3,"256,714.00","297,635.00"
2007,4,"290,445.00","330,864.00"
2007,5,"327,955.00","361,686.00"
2007,6,"373,030.00","406,752.00"
2007,7,"33,516.00","29,293.00"
2007,8,"64,797.00","69,646.00"
2007,9,"96,010.00","94,822.00"
2007,10,"130,402.00","142,819.00"
2007,11,"162,583.00","188,538.00"
2007,12,"203,731.00","221,958.00"
2008,1,"241,522.00","283,616.00"
2008,2,"269,306.00","313,971.00"
2008,3,"308,283.00","358,594.00"
2008,4,"346,191.00","393,926.00"
2008,5,"381,631.00","448,685.00"
2008,6,"432,220.00","534,841.00"
2008,7,"33,552.00","29,520.00"
2008,8,"66,228.00","74,643.00"
2008,9,"108,886.00","110,066.00"
2008,10,"146,247.00","175,858.00"
2008,11,"180,260.00","210,510.00"
2008,12,"231,761.00","262,945.00"
2009,1,"271,194.00","301,536.00"
2009,2,"309,245.00","359,383.00"
2009,3,"344,225.00","390,126.00"
2009,4,"392,555.00","465,124.00"
2009,5,"432,440.00","515,703.00"
2009,6,"487,893.00","595,598.00"
2009,7,"38,062.00","44,788.00"
2009,8,"72,271.00","97,645.00"
2009,9,"126,653.00","161,013.00"
2009,10,"167,310.00","210,729.00"
2009,11,"204,464.00","247,746.00"
2009,12,"257,314.00","296,132.00"
2010,1,"304,531.00","374,246.00"
2010,2,"340,684.00","440,026.00"
2010,3,"387,689.00","503,084.00"
2010,4,"440,273.00","565,112.00"
2010,5,"485,203.00","644,544.00"
2010,6,"586,377.00","791,793.00"
2010,7,"38,539.00","35,933.00"
2010,8,"82,086.00","111,784.00"
2010,9,"132,869.00","163,463.00"
2010,10,"187,901.00","243,482.00"
2010,11,"236,403.00","303,566.00"
2010,12,"294,862.00","356,722.67"
2011,1,"350,725.00","434,101.50"
2011,2,"394,540.00","489,364.00"
2011,3,"446,566.00","560,000.00"
2011,4,"511,392.00","630,136.00"
2011,5,"565,787.00","687,598.00"
2011,6,"660,764.00","817,089.00"
2011,7,"39,362.00","43,719.00"
2011,8,"84,400.00","95,881.00"
2011,9,"147,052.00","179,625.00"
2011,10,"193,738.00","248,301.00"
2011,11,"243,139.00","320,069.00"
2011,12,"314,838.57","430,925.57"
2012,1,"362,115.99","509,200.15"
2012,2,"409,577.00","586,553.00"
2012,3,"465,169.00","670,182.00"
2012,4,"534,442.00","748,694.28"
2012,5,"597,295.00","826,227.28"
2012,6,"690,732.00","915,888.00"
2012,7,"43,189.36","50,032.24"
2012,8,"97,343.30","146,185.13"
2012,9,"162,004.01","232,292.14"
2012,10,"216,270.63","308,459.11"
2012,11,"280,959.41","403,066.90"
2012,12,"359,083.29","506,411.63"
2013,1,"419,576.40","589,548.70"
2013,2,"473,286.23","660,191.43"
2013,3,"531,592.25","774,076.98"
2013,4,"658,999.30","878,171.56"
2013,5,"695,046.39","985,521.28"
2013,6,"822,666.96","1,263,371.95"
2013,7,"58,577.41","49,926.47"
2013,8,"128,122.27","145,034.54"
2013,9,"213,567.01","264,425.90"
2013,10,"288,676.11","352,300.80"
2013,11,"364,090.26","458,382.67"
2013,12,"460,602.35","556,764.93"
2014,1,"538,800.86","669,839.62"
2014,2,"587,105.15","745,897.89"
2014,3,"681,576.77","827,644.87"
2014,4,"779,013.44","940,462.26"
2014,5,"860,159.86","1,079,699.88"
2014,6,"969,162.15","1,281,162.82"
2014,7,"89,730.22","49,590.08"
2014,8,"167,580.17","141,069.79"
2014,9,"261,500.96","261,115.56"
2014,10,"352,272.63","373,507.61"
2014,11,"416,130.19","490,096.60"
2014,12,"536,765.60","613,964.59"
2015,1,"611,056.34","764,835.72"
2015,2,"692,787.67","864,183.63"
2015,3,"764,567.34","1,133,135.19"
2015,4,"878,398.29","1,264,324.81"
2015,5,"958,765.84","1,347,642.80"
2015,6,"1,083,161.90","1,605,406.32"
2015,7,"81,207.63","56,983.12"
2015,8,"162,190.83","138,695.66"
2015,9,"276,994.11","254,201.66"
2015,10,"365,483.68","396,672.81"
2015,11,"451,285.72","607,727.13"
2015,12,"575,240.00","769,183.00"
2016,1,"670,940.50","888,866.61"
2016,2,"680,877.93","927,756.27"
2016,3,"852,379.90","1,169,664.57"
2016,4,"973,261.94","1,338,943.32"
2016,5,"1,084,865.54","1,491,551.56"
2016,6,"1,222,014.74","1,776,768.41"
2016,7,"88,693.74","63,394.25"
2016,8,"196,788.82","191,774.15"
2016,9,"316,169.54","379,429.41"
2016,10,"405,291.36","528,924.53"
2016,11,"512,733.51","745,805.61"
2016,12,"669,335.10","904,430.74"
2017,1,"772,694.63","1,082,905.32"
2017,2,"869,720.96","1,241,315.80"
2017,3,"974,707.60","1,435,099.32"
2017,4,"1,106,128.07","1,657,232.35"
2017,5,"1,251,247.54","1,852,299.55"
2017,6,"1,397,100.24","2,163,721.81"
2017,7,"95,411.85","84,030.16"
2017,8,"204,026.05","229,572.92"
2017,9,"344,877.75","375,354.92"
2017,10,"444,057.99","548,344.41"
2017,11,"558,394.90","718,981.50"
2017,12,"706,224.70","928,985.25"
