date_reported,new_cases,cumulative_cases,new_deaths,cumulative_deaths,year,month,year_month
2020-01-05,,0,,0,2020,1,January-2020
2020-01-12,,0,,0,2020,1,January-2020
2020-01-19,,0,,0,2020,1,January-2020
2020-01-26,,0,,0,2020,1,January-2020
2020-02-02,,0,,0,2020,2,February-2020
2020-02-09,,0,,0,2020,2,February-2020
2020-02-16,,0,,0,2020,2,February-2020
2020-02-23,,0,,0,2020,2,February-2020
2020-03-01,,0,,0,2020,3,March-2020
2020-03-08,,0,,0,2020,3,March-2020
2020-03-15,1.0,1,,0,2020,3,March-2020
2020-03-22,6.0,7,,0,2020,3,March-2020
2020-03-29,31.0,38,4.0,4,2020,3,March-2020
2020-04-05,88.0,126,3.0,7,2020,4,April-2020
2020-04-12,65.0,191,,7,2020,4,April-2020
2020-04-19,71.0,262,4.0,11,2020,4,April-2020
2020-04-26,81.0,343,2.0,13,2020,4,April-2020
2020-05-03,92.0,435,8.0,21,2020,5,May-2020
2020-05-10,214.0,649,9.0,30,2020,5,May-2020
2020-05-17,181.0,830,20.0,50,2020,5,May-2020
2020-05-24,362.0,1192,,50,2020,5,May-2020
2020-05-31,696.0,1888,13.0,63,2020,5,May-2020
2020-06-07,712.0,2600,20.0,83,2020,6,June-2020
2020-06-14,857.0,3457,17.0,100,2020,6,June-2020
2020-06-21,1021.0,4478,21.0,121,2020,6,June-2020
2020-06-28,1333.0,5811,20.0,141,2020,6,June-2020
2020-07-05,1766.0,7577,18.0,159,2020,7,July-2020
2020-07-12,2149.0,9726,25.0,184,2020,7,July-2020
2020-07-19,3024.0,12750,41.0,225,2020,7,July-2020
2020-07-26,3893.0,16643,53.0,278,2020,7,July-2020
2020-08-02,4720.0,21363,86.0,364,2020,8,August-2020
2020-08-09,4474.0,25837,54.0,418,2020,8,August-2020
2020-08-16,4012.0,29849,54.0,472,2020,8,August-2020
2020-08-23,2269.0,32118,70.0,542,2020,8,August-2020
2020-08-30,1676.0,33794,30.0,572,2020,8,August-2020
2020-09-06,1226.0,35020,22.0,594,2020,9,September-2020
2020-09-13,943.0,35963,25.0,619,2020,9,September-2020
2020-09-20,866.0,36829,27.0,646,2020,9,September-2020
2020-09-27,1042.0,37871,43.0,689,2020,9,September-2020
2020-10-04,1313.0,39184,39.0,728,2020,10,October-2020
2020-10-11,1974.0,41158,32.0,760,2020,10,October-2020
2020-10-18,3038.0,44196,65.0,825,2020,10,October-2020
2020-10-25,4594.0,48790,71.0,896,2020,10,October-2020
2020-11-01,6402.0,55192,100.0,996,2020,11,November-2020
2020-11-08,6577.0,61769,107.0,1103,2020,11,November-2020
2020-11-15,7504.0,69273,146.0,1249,2020,11,November-2020
2020-11-22,7131.0,76404,117.0,1366,2020,11,November-2020
2020-11-29,6201.0,82605,79.0,1445,2020,11,November-2020
2020-12-06,5379.0,87984,73.0,1518,2020,12,December-2020
2020-12-13,3542.0,91526,68.0,1586,2020,12,December-2020
2020-12-20,2625.0,94151,47.0,1633,2020,12,December-2020
2020-12-27,1692.0,95843,22.0,1655,2020,12,December-2020
2021-01-03,835.0,96678,30.0,1685,2021,1,January-2021
2021-01-10,1506.0,98184,19.0,1704,2021,1,January-2021
2021-01-17,898.0,99082,24.0,1728,2021,1,January-2021
2021-01-24,816.0,99898,12.0,1740,2021,1,January-2021
2021-01-31,777.0,100675,15.0,1755,2021,1,January-2021
2021-02-07,1015.0,101690,21.0,1776,2021,2,February-2021
2021-02-14,1102.0,102792,19.0,1795,2021,2,February-2021
2021-02-21,1201.0,103993,22.0,1817,2021,2,February-2021
2021-02-28,1655.0,105648,37.0,1854,2021,2,February-2021
2021-03-07,2714.0,108362,20.0,1874,2021,3,March-2021
2021-03-14,4443.0,112805,34.0,1908,2021,3,March-2021
2021-03-21,7358.0,120163,86.0,1994,2021,3,March-2021
2021-03-28,9167.0,129330,110.0,2104,2021,3,March-2021
2021-04-04,8747.0,138077,102.0,2206,2021,4,April-2021
2021-04-11,7107.0,145184,124.0,2330,2021,4,April-2021
2021-04-18,6103.0,151287,133.0,2463,2021,4,April-2021
2021-04-25,5031.0,156318,140.0,2603,2021,4,April-2021
2021-05-02,3735.0,160053,141.0,2744,2021,5,May-2021
2021-05-09,3185.0,163238,139.0,2883,2021,5,May-2021
2021-05-16,2141.0,165379,118.0,3001,2021,5,May-2021
2021-05-23,2729.0,168108,48.0,3049,2021,5,May-2021
2021-05-30,2377.0,170485,92.0,3141,2021,5,May-2021
2021-06-06,1840.0,172325,123.0,3264,2021,6,June-2021
2021-06-13,2851.0,175176,132.0,3396,2021,6,June-2021
2021-06-20,3616.0,178792,51.0,3447,2021,6,June-2021
2021-06-27,3601.0,182393,127.0,3574,2021,6,June-2021
2021-07-04,3198.0,185591,97.0,3671,2021,7,July-2021
2021-07-11,2922.0,188513,50.0,3721,2021,7,July-2021
2021-07-18,3922.0,192435,39.0,3760,2021,7,July-2021
2021-07-25,4310.0,196745,89.0,3849,2021,7,July-2021
2021-08-01,6468.0,203213,82.0,3931,2021,8,August-2021
2021-08-08,7815.0,211028,186.0,4117,2021,8,August-2021
2021-08-15,8910.0,219938,202.0,4319,2021,8,August-2021
2021-08-22,8425.0,228363,148.0,4467,2021,8,August-2021
2021-08-29,6226.0,234589,227.0,4694,2021,8,August-2021
2021-09-05,5103.0,239692,84.0,4778,2021,9,September-2021
2021-09-12,3764.0,243456,124.0,4902,2021,9,September-2021
2021-09-19,2840.0,246296,78.0,4980,2021,9,September-2021
2021-09-26,2096.0,248392,116.0,5096,2021,9,September-2021
2021-10-03,1631.0,250023,35.0,5131,2021,10,October-2021
2021-10-10,1034.0,251057,50.0,5181,2021,10,October-2021
2021-10-17,902.0,251959,34.0,5215,2021,10,October-2021
2021-10-24,669.0,252628,40.0,5255,2021,10,October-2021
2021-10-31,665.0,253293,21.0,5276,2021,10,October-2021
2021-11-07,520.0,253813,29.0,5305,2021,11,November-2021
2021-11-14,463.0,254276,11.0,5316,2021,11,November-2021
2021-11-21,412.0,254688,9.0,5325,2021,11,November-2021
2021-11-28,252.0,254940,8.0,5333,2021,11,November-2021
2021-12-05,468.0,255408,2.0,5335,2021,12,December-2021
2021-12-12,726.0,256134,11.0,5346,2021,12,December-2021
2021-12-19,6201.0,262335,7.0,5353,2021,12,December-2021
2021-12-26,19023.0,281358,6.0,5359,2021,12,December-2021
2022-01-02,15797.0,297155,22.0,5381,2022,1,January-2022
2022-01-09,13642.0,310797,56.0,5437,2022,1,January-2022
2022-01-16,6527.0,317324,51.0,5488,2022,1,January-2022
2022-01-23,2814.0,320138,43.0,5531,2022,1,January-2022
2022-01-30,1096.0,321234,47.0,5578,2022,1,January-2022
2022-02-06,809.0,322043,29.0,5607,2022,2,February-2022
2022-02-13,393.0,322436,22.0,5629,2022,2,February-2022
2022-02-20,233.0,322669,6.0,5635,2022,2,February-2022
2022-02-27,237.0,322906,4.0,5639,2022,2,February-2022
2022-03-06,165.0,323071,1.0,5640,2022,3,March-2022
2022-03-13,100.0,323171,4.0,5644,2022,3,March-2022
2022-03-20,101.0,323272,3.0,5647,2022,3,March-2022
2022-03-27,93.0,323365,,5647,2022,3,March-2022
2022-04-03,85.0,323450,1.0,5648,2022,4,April-2022
2022-04-10,81.0,323531,,5648,2022,4,April-2022
2022-04-17,78.0,323609,1.0,5649,2022,4,April-2022
2022-04-24,87.0,323696,,5649,2022,4,April-2022
2022-05-01,77.0,323773,,5649,2022,5,May-2022
2022-05-08,95.0,323868,,5649,2022,5,May-2022
2022-05-15,143.0,324011,,5649,2022,5,May-2022
2022-05-22,211.0,324222,,5649,2022,5,May-2022
2022-05-29,464.0,324686,2.0,5651,2022,5,May-2022
2022-06-05,756.0,325442,,5651,2022,6,June-2022
2022-06-12,1295.0,326737,,5651,2022,6,June-2022
2022-06-19,2370.0,329107,,5651,2022,6,June-2022
2022-06-26,2859.0,331966,,5651,2022,6,June-2022
2022-07-03,2283.0,334249,4.0,5655,2022,7,July-2022
2022-07-10,1524.0,335773,8.0,5663,2022,7,July-2022
2022-07-17,917.0,336690,5.0,5668,2022,7,July-2022
2022-07-24,552.0,337242,2.0,5670,2022,7,July-2022
2022-07-31,357.0,337599,2.0,5672,2022,7,July-2022
2022-08-07,234.0,337833,,5672,2022,8,August-2022
2022-08-14,105.0,337938,1.0,5673,2022,8,August-2022
2022-08-21,104.0,338042,,5673,2022,8,August-2022
2022-08-28,111.0,338153,,5673,2022,8,August-2022
2022-09-04,81.0,338234,1.0,5674,2022,9,September-2022
2022-09-11,56.0,338290,,5674,2022,9,September-2022
2022-09-18,42.0,338332,1.0,5675,2022,9,September-2022
2022-09-25,57.0,338389,,5675,2022,9,September-2022
2022-10-02,50.0,338439,3.0,5678,2022,10,October-2022
2022-10-09,54.0,338493,,5678,2022,10,October-2022
2022-10-16,78.0,338571,,5678,2022,10,October-2022
2022-10-23,178.0,338749,,5678,2022,10,October-2022
2022-10-30,329.0,339078,,5678,2022,10,October-2022
2022-11-06,593.0,339671,,5678,2022,11,November-2022
2022-11-13,700.0,340371,,5678,2022,11,November-2022
